title,genres,popularity,release_date,budget,revenue,vote_count,vote_average,status,runtime,imdb_id,Metascore,imdbRating
Sikandar Ka Muqaddar,"['Thriller', 'Crime', 'Mystery', 'Action']",375.316,2024-11-29,0,0,12,6.1,Released,143,tt31522415,N/A,N/A
Japanese Mom,"['Romance', 'Drama']",353.716,2017-02-09,0,0,30,6.2,Released,91,,,
Spellbound,"['Animation', 'Fantasy', 'Family', 'Adventure', 'Comedy']",326.983,2024-11-22,0,0,159,6.9,Released,111,tt7215232,N/A,6.3
The Grinch,"['Animation', 'Family', 'Comedy', 'Fantasy']",360.162,2018-11-08,75000000,508600000,3984,6.9,Released,85,tt2709692,51,6.4
We Live in Time,"['Romance', 'Drama']",370.593,2024-10-10,20000000,31818409,227,7.597,Released,108,tt27131358,59,7.0
Azrael,"['Action', 'Horror', 'Thriller']",329.154,2024-09-27,12000000,631272,148,5.98,Released,86,tt22173666,52,5.4
The Moor,"['Horror', 'Mystery', 'Drama']",327.467,2024-06-14,0,0,20,4.9,Released,120,tt14922882,N/A,4.9
Pídeme lo que quieras,"['Romance', 'Drama']",326.573,2024-11-29,0,0,8,6.188,Released,0,tt31723358,N/A,N/A
Home Alone 2: Lost in New York,"['Comedy', 'Family', 'Adventure']",361.064,1992-11-15,18000000,358994850,9631,6.75,Released,120,tt0104431,46,6.9
Solo Leveling -ReAwakening-,"['Action', 'Adventure', 'Fantasy', 'Animation']",287.695,2024-11-26,0,4150341,27,7.241,Released,116,tt33428606,N/A,8.4
Arcadian,"['Action', 'Horror', 'Thriller', 'Science Fiction']",338.117,2024-04-12,0,859453,492,6.1,Released,92,tt22939186,N/A,5.5
Anora,"['Romance', 'Comedy', 'Drama']",437.105,2024-10-14,6000000,25467529,404,7.3,Released,139,tt28607951,91,8.0
Pleasure,['Drama'],253.05,2021-10-08,1800000,393824,559,6.218,Released,108,tt8550054,75,6.3
Bad Boys: Ride or Die,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",305.33,2024-06-05,100000000,404516167,2449,7.5,Released,115,tt4919268,N/A,6.6
Survive,"['Thriller', 'Adventure', 'Action', 'Science Fiction']",379.3,2024-06-19,5270000,0,80,5.8,Released,90,tt27032708,N/A,4.5
Dear Santa,"['Fantasy', 'Comedy']",282.069,2024-11-24,0,0,184,6.587,Released,108,tt2396431,N/A,N/A
The Platform 2,"['Science Fiction', 'Horror']",255.449,2024-09-27,0,0,944,5.574,Released,100,tt27729779,N/A,5.0
Disaster Holiday,"['Comedy', 'Family']",278.728,2024-12-12,0,0,15,6.533,Released,93,tt34608980,N/A,N/A
Flow,"['Animation', 'Fantasy', 'Adventure']",263.767,2024-08-29,3500000,4976001,412,8.5,Released,85,tt4772188,86,7.9
Battle for the Western Front,['War'],173.002,2022-10-06,1500000,0,10,5.7,Released,90,tt11585506,N/A,4.5
